CodeAdmin;DRE;IEPP;NOM_ETABLISSEMENT;Village;Latitude;Longitude;Privé
60406P080P;DRE SAVANES;IEPP CINKASSE;EPP KORONZOAGA 2;KODINZOAGA;11,13029;-0,11377;0
60406P135P;DRE SAVANES;IEPP CINKASSE;EPP KORONZOAGA 1;GANGAI;11,128418;-0,097164;0
60406P151P;DRE SAVANES;IEPP CINKASSE;EPP BOADE G/B;ZINTANGO;11,12462833;-0,079526667;0
60407J058P;DRE SAVANES;IEPP CINKASSE;JEP BOADE;BOADECENTRE;11,12080333;-0,067;1
60406P061P;DRE SAVANES;IEPP CINKASSE;EPP BOADE G/A;BOADECENTRE;11,120767;-0,06702;0
60406P102P;DRE SAVANES;IEPP CINKASSE;EPP WOURI WOURI;HORIWOURI;11,117376;-0,034466;0
60406P142P;DRE SAVANES;IEPP CINKASSE;EPP GOULOUNGOUSSI G/B;KOKNOGO;11,114711;-0,104561;0
60406P077P;DRE SAVANES;IEPP CINKASSE;EPP GOULOUNGOUSSI G/A;KOKNOGO;11,11452667;-0,104405;0
60406P104P;DRE SAVANES;IEPP CINKASSE;EPP ZOUMBEKO;ZOUMBEKO;11,114157;-0,129094;0
60406P076P;DRE SAVANES;IEPP CINKASSE;EPP GNOAGA;WANRE;11,108788;-0,099148;0
60406P079P;DRE SAVANES;IEPP CINKASSE;EPP KOMOLOGO;VILLEDECINKASSE;11,108605;-0,003445;0
60406P078P;DRE SAVANES;IEPP CINKASSE;EPP KASSOU;KOSSOU;11,108049;-0,046819;0
60406P143P;DRE SAVANES;IEPP CINKASSE;EPP CINKASSE PEULH G/C;SILMISSI;11,10505333;0,027248333;0
60406P066P;DRE SAVANES;IEPP CINKASSE;EPP CINKASSE PEULH G/A;SILMISSI;11,105006;0,027773;0
60406P067P;DRE SAVANES;IEPP CINKASSE;EPP CINKASSE PEULH G/B;SILMISSI;11,104726;0,027052;0
60406P131C;DRE SAVANES;IEPP CINKASSE;EPIS NOUROUL ISLAM;VILLEDECINKASSE;11,104192;0,018589;1
60406P133L;DRE SAVANES;IEPP CINKASSE;EPL LA RELEVE;VILLEDECINKASSE;11,102367;0,007591;1
60406P128C;DRE SAVANES;IEPP CINKASSE;EPI DAROUL HOUDA;VILLEDECINKASSE;11,101756;0,009334;1
60406P065P;DRE SAVANES;IEPP CINKASSE;EPP CINKASSE CENTRALE G/C;VILLEDECINKASSE;11,101415;0,016379;0
60406P064P;DRE SAVANES;IEPP CINKASSE;EPP CINKASSE CENTRALE G/B;VILLEDECINKASSE;11,101248;0,016445;0
60406P063P;DRE SAVANES;IEPP CINKASSE;EPP CINKASSE CENTRALE G/A;VILLEDECINKASSE;11,101058;0,016589;0
60406P152P;DRE SAVANES;IEPP CINKASSE;EPP CINKASSE CENTRALE G/D;VILLEDECINKASSE;11,10094667;0,015711667;0
60406P126C;DRE SAVANES;IEPP CINKASSE;EPEP CINKASSE;VILLEDECINKASSE;11,099747;0,00323;1
