CodeAdmin;DRE;IEPP;NOM_ETABLISSEMENT;Village;Latitude;Longitude
60406P131C;DRE SAVANES;IEPP CINKASSE;EPIS NOUROUL ISLAM;VILLEDECINKASSE;11,104192;0,018589
60406P133L;DRE SAVANES;IEPP CINKASSE;EPL LA RELEVE;VILLEDECINKASSE;11,102367;0,007591
60406P128C;DRE SAVANES;IEPP CINKASSE;EPI DAROUL HOUDA;VILLEDECINKASSE;11,101756;0,009334
60406P126C;DRE SAVANES;IEPP CINKASSE;EPEP CINKASSE;VILLEDECINKASSE;11,099747;0,00323
60406P124C;DRE SAVANES;IEPP CINKASSE;EPE AD CINKASSE G/A;VILLEDECINKASSE;11,09935;0,01684
60406P125C;DRE SAVANES;IEPP CINKASSE;EPE AD CINKASSE G/B;VILLEDECINKASSE;11,099165;0,016831
60406P109C;DRE SAVANES;IEPP CINKASSE;EPC DON BOSCO;VILLEDECINKASSE;11,098253;0,0206
60406P130C;DRE SAVANES;IEPP CINKASSE;EPIS MIFTAHOUL OULOUM;VILLEDECINKASSE;11,095103;0,007464
60406P138L;DRE SAVANES;IEPP CINKASSE;EPL LA LUMIERE;VILLEDECINKASSE;11,09413833;0,024613333
60406P157C;DRE SAVANES;IEPP CINKASSE;EPI MARQUEZ ATAKWA;KPALBIAGUEI;11,09375333;0,03213
60406P132L;DRE SAVANES;IEPP CINKASSE;EPL JEAN JACQUES ROUSSEAU;VILLEDECINKASSE;11,091687;0,01826
60406P159C;DRE SAVANES;IEPP CINKASSE;EPI ASSALAFIA;VILLEDECINKASSE;11,09058667;0,027038333
60406P110C;DRE SAVANES;IEPP CINKASSE;EPC GABONI;GABONI;11,078725;0,094142
60406P120C;DRE SAVANES;IEPP CINKASSE;EPC SAM NABA;SAM-NABA;11,073808;0,167331
60406P121C;DRE SAVANES;IEPP CINKASSE;EPC SAMOMONI;SAMOMONI;11,04243;0,057825
60406P123C;DRE SAVANES;IEPP CINKASSE;EPC TCHEGLE;SAM-NABA;11,0417;0,27135
